Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
56.750981063,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.750983938,1,0,0,1,1,1,0,1,1,0,1,1,1,1
56.750984625,1,0,0,1,1,1,0,0,1,0,1,1,1,1
56.751001187,1,0,0,1,1,1,0,0,1,0,1,1,0,1
56.751001313,1,0,0,1,1,1,0,0,1,0,1,0,0,1
56.751001937,1,0,0,1,1,1,0,0,1,1,1,0,0,1
56.751012938,1,0,0,1,1,1,0,0,1,1,1,0,1,1
56.751013063,1,0,0,1,1,1,0,0,1,0,1,0,1,1
56.751013187,1,0,0,1,1,1,0,0,1,0,1,1,1,1
56.751034875,1,0,0,1,1,1,1,0,1,0,1,1,1,1
56.751035563,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751052125,1,0,0,1,1,1,1,1,1,0,1,1,0,1
56.751052250,1,0,0,1,1,1,1,1,1,0,1,0,0,1
56.751052875,1,0,0,1,1,1,1,1,1,1,1,0,0,1
56.751066000,1,0,0,1,1,1,1,1,1,1,1,0,1,1
56.751066125,1,0,0,1,1,1,1,1,1,0,1,0,1,1
56.751066250,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751084187,0,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751087125,0,0,0,1,0,1,1,1,1,0,1,1,1,1
56.751088563,0,0,0,1,0,1,0,1,1,0,1,1,1,1
56.751106687,0,0,0,1,0,1,0,1,1,0,1,1,0,1
56.751106812,0,0,0,1,0,1,0,1,1,0,1,0,0,1
56.751107500,0,0,0,1,0,1,0,1,1,1,1,0,0,1
56.751119000,0,0,0,1,0,1,0,1,1,1,1,0,1,1
56.751119125,0,0,0,1,0,1,0,1,1,0,1,0,1,1
56.751119250,0,0,0,1,0,1,0,1,1,0,1,1,1,1
56.751136438,1,0,0,1,0,1,0,1,1,0,1,1,1,1
56.751137187,1,1,0,1,0,1,0,1,1,0,1,1,1,1
56.751137937,1,1,1,1,0,1,0,1,1,0,1,1,1,1
56.751139375,1,1,1,1,1,1,0,1,1,0,1,1,1,1
56.751140812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751158250,1,1,1,1,1,1,1,1,1,0,1,1,0,1
56.751158375,1,1,1,1,1,1,1,1,1,0,1,0,0,1
56.751159063,1,1,1,1,1,1,1,1,1,1,1,0,0,1
56.751171937,1,1,1,1,1,1,1,1,1,1,1,0,1,1
56.751172125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
56.751172250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751189188,0,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751213562,0,1,1,1,1,1,1,1,1,0,1,1,0,1
56.751213687,0,1,1,1,1,1,1,1,1,0,1,0,0,1
56.751214313,0,1,1,1,1,1,1,1,1,1,1,0,0,1
56.751225938,0,1,1,1,1,1,1,1,1,1,1,0,1,1
56.751226125,0,1,1,1,1,1,1,1,1,0,1,0,1,1
56.751226250,0,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751244375,0,0,1,1,1,1,1,1,1,0,1,1,1,1
56.751245125,0,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751248000,0,0,0,1,1,1,0,1,1,0,1,1,1,1
56.751248688,0,0,0,1,1,1,0,0,1,0,1,1,1,1
56.751265313,0,0,0,1,1,1,0,0,1,0,1,1,0,1
56.751265438,0,0,0,1,1,1,0,0,1,0,1,0,0,1
56.751266063,0,0,0,1,1,1,0,0,1,1,1,0,0,1
56.751278000,0,0,0,1,1,1,0,0,1,1,1,0,1,1
56.751278125,0,0,0,1,1,1,0,0,1,0,1,0,1,1
56.751278250,0,0,0,1,1,1,0,0,1,0,1,1,1,1
56.751295312,1,0,0,1,1,1,0,0,1,0,1,1,1,1
56.751299750,1,0,0,1,1,1,1,0,1,0,1,1,1,1
56.751300500,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751318500,1,0,0,1,1,1,1,1,1,0,1,1,0,1
56.751318625,1,0,0,1,1,1,1,1,1,0,1,0,0,1
56.751319250,1,0,0,1,1,1,1,1,1,1,1,0,0,1
56.751331937,1,0,0,1,1,1,1,1,1,1,1,0,1,1
56.751332125,1,0,0,1,1,1,1,1,1,0,1,0,1,1
56.751332250,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751353188,1,0,0,1,1,0,1,1,1,0,1,1,1,1
56.751515750,1,0,0,1,1,0,1,1,1,0,1,1,0,1
56.751515875,1,0,0,1,1,0,1,1,1,0,1,0,0,1
56.751516438,1,0,0,1,1,0,1,1,1,1,1,0,0,1
56.751532938,1,0,0,1,1,0,1,1,1,1,1,0,1,1
56.751533063,1,0,0,1,1,0,1,1,1,0,1,0,1,1
56.751533250,1,0,0,1,1,0,1,1,1,0,1,1,1,1
56.751555250,1,1,0,1,1,0,1,1,1,0,1,1,1,1
56.751556000,1,1,1,1,1,0,1,1,1,0,1,1,1,1
56.751558125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751585437,1,1,1,1,1,1,1,1,1,0,1,1,0,1
56.751585500,1,1,1,1,1,1,1,1,1,0,1,0,0,1
56.751586250,1,1,1,1,1,1,1,1,1,1,1,0,0,1
56.751598937,1,1,1,1,1,1,1,1,1,1,1,0,1,1
56.751599125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
56.751599250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751620563,1,1,1,1,0,1,1,1,1,0,1,1,1,1
56.751622000,1,1,1,1,0,1,0,1,1,0,1,1,1,1
56.751622750,1,1,1,1,0,1,0,0,1,0,1,1,1,1
56.751639375,1,1,1,1,0,1,0,0,1,0,1,1,0,1
56.751639500,1,1,1,1,0,1,0,0,1,0,1,0,0,1
56.751640250,1,1,1,1,0,1,0,0,1,1,1,0,0,1
56.751652937,1,1,1,1,0,1,0,0,1,1,1,0,1,1
56.751653125,1,1,1,1,0,1,0,0,1,0,1,0,1,1
56.751653250,1,1,1,1,0,1,0,0,1,0,1,1,1,1
56.751671125,1,0,1,1,0,1,0,0,1,0,1,1,1,1
56.751673313,1,0,1,1,1,1,0,0,1,0,1,1,1,1
56.751674750,1,0,1,1,1,1,1,0,1,0,1,1,1,1
56.751675437,1,0,1,1,1,1,1,1,1,0,1,1,1,1
56.751693688,1,0,1,1,1,1,1,1,1,0,1,1,0,1
56.751693813,1,0,1,1,1,1,1,1,1,0,1,0,0,1
56.751694437,1,0,1,1,1,1,1,1,1,1,1,0,0,1
56.751706938,1,0,1,1,1,1,1,1,1,1,1,0,1,1
56.751707125,1,0,1,1,1,1,1,1,1,0,1,0,1,1
56.751707250,1,0,1,1,1,1,1,1,1,0,1,1,1,1
56.751725125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751726562,1,1,1,0,1,1,1,1,1,0,1,1,1,1
56.751727313,1,1,1,0,0,1,1,1,1,0,1,1,1,1
56.751728000,1,1,1,0,0,0,1,1,1,0,1,1,1,1
56.751729500,1,1,1,0,0,0,1,0,1,0,1,1,1,1
56.751746750,1,1,1,0,0,0,1,0,1,0,1,1,0,1
56.751746875,1,1,1,0,0,0,1,0,1,0,1,0,0,1
56.751747438,1,1,1,0,0,0,1,0,1,1,1,0,0,1
56.751760000,1,1,1,0,0,0,1,0,1,1,1,0,1,1
56.751760125,1,1,1,0,0,0,1,0,1,0,1,0,1,1
56.751760250,1,1,1,0,0,0,1,0,1,0,1,1,1,1
56.751778250,1,0,1,0,0,0,1,0,1,0,1,1,1,1
56.751779687,1,0,1,1,0,0,1,0,1,0,1,1,1,1
56.751780438,1,0,1,1,1,0,1,0,1,0,1,1,1,1
56.751782562,1,0,1,1,1,0,1,1,1,0,1,1,1,1
56.751799375,1,0,1,1,1,0,1,1,1,0,1,1,0,1
56.751799500,1,0,1,1,1,0,1,1,1,0,1,0,0,1
56.751800250,1,0,1,1,1,0,1,1,1,1,1,0,0,1
56.751812000,1,0,1,1,1,0,1,1,1,1,1,0,1,1
56.751812125,1,0,1,1,1,0,1,1,1,0,1,0,1,1
56.751812250,1,0,1,1,1,0,1,1,1,0,1,1,1,1
56.751830125,1,1,1,1,1,0,1,1,1,0,1,1,1,1
56.751833062,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751852562,1,1,1,1,1,1,1,1,1,0,1,1,0,1
56.751852687,1,1,1,1,1,1,1,1,1,0,1,0,0,1
56.751853438,1,1,1,1,1,1,1,1,1,1,1,0,0,1
56.751866000,1,1,1,1,1,1,1,1,1,1,1,0,1,1
56.751866125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
56.751866250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56.751884125,1,0,1,1,1,1,1,1,1,0,1,1,1,1
56.751884813,1,0,0,1,1,1,1,1,1,0,1,1,1,1
56.751885563,1,0,0,0,1,1,1,1,1,0,1,1,1,1
56.751886312,1,0,0,0,0,1,1,1,1,0,1,1,1,1
56.751903812,1,0,0,0,0,1,1,1,1,0,1,1,0,1
