Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,SRQ,NDAC,ATN,NRFD,DAV,EOI
30.255146375,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255162813,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255163375,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255179563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255180125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255196375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255196937,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255213188,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255213750,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255230000,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255230562,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255246813,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255247312,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255263563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255264125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255280375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255280938,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255297187,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255297750,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255314000,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255314500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255331375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255331937,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255348375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255348937,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255365188,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255365750,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255382000,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255382500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255398750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255399312,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255415563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255416125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255432375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255432938,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255449187,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255449688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255465937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255466500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255482750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255483313,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255499562,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255500125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255516938,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255517500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255533938,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255534500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255550750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255551312,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255567563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255568125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255584375,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255584875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255601125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255601687,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255617937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255618500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255634750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255635313,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255651562,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255652125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255668312,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255668875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255685125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255685688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255702563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255703125,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255719563,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255720063,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255736313,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255736875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255753125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255753688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255769937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255770500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255786750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255787313,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255803500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255804063,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255820312,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255820875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255837125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255837688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255853937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255854500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255870750,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255871250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255888125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255888688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255905125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255905688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255921937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255922500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255938687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255939250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255955500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255956063,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255972312,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255972875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.255989125,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.255989688,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256005937,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256006438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256022687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256023250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256039500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256040062,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256056313,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256056875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256073687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256074250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256090687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256091250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256107500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256108063,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256124312,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256124875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256141062,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256141625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256157875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256158438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256174687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256175250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256191500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256192062,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256208313,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256208812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256225063,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256225625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256241875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256242437,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256259312,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256259813,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256276250,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256276813,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256293062,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256293625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256309875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256310438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256326687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256327250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256343500,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256344000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256360250,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256360812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256377063,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256377625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256393875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256394437,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256410688,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256411250,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256427438,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256428000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256444875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256445437,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256461875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256462438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256478687,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256479187,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256495437,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256496000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256512250,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256512812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256529063,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256529625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256545875,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256546437,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256562625,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256563187,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256579438,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256580000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256596250,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256596812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256613063,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256613625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256630438,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256631000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256647437,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256648000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256664250,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256664812,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256681063,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256681625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256697813,1,1,1,1,1,1,1,1,1,0,1,0,1,1
30.256698375,1,1,1,1,1,1,1,1,1,0,1,1,1,1
30.256714625,1,1,1,1,1,1,1,1,1,0,1,0,1,1
